site_id,latitude,longitude,description,feature_name,comid,country,origin_study_code,data_source,nearest_eq_distance_km,nearest_eq_id,nearest_eq_magnitude,nearest_eq_depth_km,nearest_eq_depth_category,nearest_eq_year,nearest_eq_place,proximity_category
MP-102203,34.675166,-92.161779,stream,Arkansas River,22848175.0,United States,CM,PNNL_River_Sampling,429.36,ok2024cish,5.06,3.0,Shallow,2024.0,"8 km NW of Prague, Oklahoma",Moderate (100-500 km)
MP-102277,30.1982931,-92.4631118,stream,Bayou Plaqemarine,15140491.0,United States,CM,PNNL_River_Sampling,342.72,usp000e9v9,5.3,5.0,Shallow,2006.0,"157 km S of Grand Isle, Louisiana",Moderate (100-500 km)
MP-102281,30.189567,-92.590164,stream,Mermentau River,15096243.0,United States,CM,PNNL_River_Sampling,350.02,usp000e9v9,5.3,5.0,Shallow,2006.0,"157 km S of Grand Isle, Louisiana",Moderate (100-500 km)
MP-102321,29.7624,-95.55825,stream,Buffalo Bayou,1439297.0,United States,CM,PNNL_River_Sampling,563.72,usp000e9v9,5.3,5.0,Shallow,2006.0,"157 km S of Grand Isle, Louisiana",Distant (>500 km)
MP-102322,29.3338,-95.2832,stream,Chocolate Bayou,1566256.0,United States,CM,PNNL_River_Sampling,522.84,usp000e9v9,5.3,5.0,Shallow,2006.0,"157 km S of Grand Isle, Louisiana",Distant (>500 km)
MP-102327,31.1355617,-96.8252242,stream,Brazos River,5555562.0,United States,CM,PNNL_River_Sampling,404.56,tx2024ophu,5.1,3.2959,Shallow,2024.0,"17 km NNE of Hermleigh, Texas",Moderate (100-500 km)
MP-102337,30.75244,-98.67373,stream,Llano River,5771725.0,United States,CM,PNNL_River_Sampling,292.15,tx2024ophu,5.1,3.2959,Shallow,2024.0,"17 km NNE of Hermleigh, Texas",Moderate (100-500 km)
MP-102338,30.2457,-97.6915,stream,Lower Colorado River,5781917.0,United States,CM,PNNL_River_Sampling,397.05,tx2024ophu,5.1,3.2959,Shallow,2024.0,"17 km NNE of Hermleigh, Texas",Moderate (100-500 km)
MP-102340,28.8318,-96.5783,stream,Lavaca River/Estuary,7843181.0,United States,CM,PNNL_River_Sampling,585.79,tx2024ophu,5.1,3.2959,Shallow,2024.0,"17 km NNE of Hermleigh, Texas",Distant (>500 km)
MP-102358,28.461375,-98.190709,stream,Frio River,10664258.0,United States,CM,PNNL_River_Sampling,533.71,tx2024ophu,5.1,3.2959,Shallow,2024.0,"17 km NNE of Hermleigh, Texas",Distant (>500 km)
MP-102385,35.776694,-105.658917,stream,Rio Mora,20815146.0,United States,CM,PNNL_River_Sampling,149.68,usp000dx3k,5.0,5.0,Shallow,2005.0,"20 km S of Weston, Colorado",Moderate (100-500 km)
MP-102398,39.844312,-105.751041,stream,Fraser River,1239663.0,United States,CM,PNNL_River_Sampling,74.41,ushis2979,5.2,5.0,Shallow,1967.0,"4 km NE of Derby, Colorado",Very Close (<100 km)
MP-102420,38.85626,-107.05596,stream,Coal Creek,1332234.0,United States,CM,PNNL_River_Sampling,77.86,ushis2466,5.5,49.0,Shallow,1960.0,"15 km E of Colona, Colorado",Very Close (<100 km)
MP-102534,39.52207,-119.97538,stream,Truckee,8932036.0,United States,CM,PNNL_River_Sampling,3.1,nn00385392,5.1,2.8,Shallow,2008.0,"1 km NW of Mogul, Nevada",Very Close (<100 km)
